
=== curriculum ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --schedule default_3cam --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/vtmae_curriculum_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/previews
[VTMAE-3CAM] channels=9, views=3, size=(84,84)
[VTMAE-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] MultiViewVST total: 2,240,648 | trainable: 2,240,648
[Params] MultiViewVSMAE total: 4,860,244 | trainable: 4,860,244
[Params breakdown] encoder=2,240,648 decoder=2,367,488 heads=249,804
[6300/50000] phase=A total=0.0047 ema=0.0033 recon=0.0045 align=0.0022 v0=0.0065 v1=0.0030 v2=0.0024 visible=0.0038 cross=0.0006 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[6400/50000] phase=A total=0.0022 ema=0.0033 recon=0.0022 align=0.0000 v0=0.0023 v1=0.0024 v2=0.0017 visible=0.0022 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[6500/50000] phase=A total=0.0039 ema=0.0034 recon=0.0038 align=0.0003 v0=0.0052 v1=0.0032 v2=0.0025 visible=0.0037 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[6600/50000] phase=A total=0.0027 ema=0.0034 recon=0.0024 align=0.0029 v0=0.0028 v1=0.0023 v2=0.0016 visible=0.0022 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[6700/50000] phase=A total=0.0025 ema=0.0033 recon=0.0025 align=0.0002 v0=0.0027 v1=0.0024 v2=0.0019 visible=0.0023 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[6800/50000] phase=A total=0.0050 ema=0.0033 recon=0.0044 align=0.0056 v0=0.0053 v1=0.0033 v2=0.0025 visible=0.0033 cross=0.0008 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[6900/50000] phase=A total=0.0023 ema=0.0032 recon=0.0023 align=0.0000 v0=0.0025 v1=0.0024 v2=0.0021 visible=0.0023 cross=0.0000 patterns(t/s)=32/0 mask(v0/v1/v2)=0.75/0.75/0.75
[7000/50000] phase=A total=0.0025 ema=0.0032 recon=0.0025 align=0.0001 v0=0.0024 v1=0.0027 v2=0.0019 visible=0.0024 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[7100/50000] phase=A total=0.0034 ema=0.0033 recon=0.0034 align=0.0001 v0=0.0029 v1=0.0042 v2=0.0026 visible=0.0034 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[7200/50000] phase=A total=0.0033 ema=0.0032 recon=0.0031 align=0.0019 v0=0.0030 v1=0.0026 v2=0.0024 visible=0.0025 cross=0.0005 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[7300/50000] phase=A total=0.0080 ema=0.0033 recon=0.0071 align=0.0085 v0=0.0089 v1=0.0034 v2=0.0038 visible=0.0053 cross=0.0018 patterns(t/s)=25/7 mask(v0/v1/v2)=0.75/0.75/0.75
[7400/50000] phase=A total=0.0029 ema=0.0031 recon=0.0027 align=0.0023 v0=0.0025 v1=0.0028 v2=0.0018 visible=0.0022 cross=0.0004 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[7500/50000] phase=A total=0.0041 ema=0.0030 recon=0.0037 align=0.0038 v0=0.0039 v1=0.0025 v2=0.0023 visible=0.0027 cross=0.0009 patterns(t/s)=27/5 mask(v0/v1/v2)=0.75/0.75/0.75
[7600/50000] phase=A total=0.0025 ema=0.0033 recon=0.0024 align=0.0008 v0=0.0020 v1=0.0026 v2=0.0019 visible=0.0021 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
